zone,x,y
Felwood,62.3,25
Winterspring,27.7,34.5
Winterspring,31.3,45.2
Winterspring,62.3,36.6
The Barrens,63,38.1
The Barrens,62.4,38.7
The Barrens,65.8,43.8
Dustwallow Marsh,67.5,50.3
Wetlands,4.6,56.8
Ironforge,75.8,23.4
Ironforge,31,4.8
Ironforge,29.4,22.1
Wetlands,9.5,59.7
Dustwallow Marsh,67.5,50.3
Tanaris,51,29.3
Tanaris,54,28.7
Tanaris,54,23.4
Tanaris,53.8,29.1
Un'Goro Crater,71.6,76
Un'Goro Crater,68.3,12.7
Un'Goro Crater,67.7,16.8
Un'Goro Crater,46.4,13.4
Un'Goro Crater,44.7,8.1
Un'Goro Crater,41.9,2.7
Un'Goro Crater,71.6,76
Ashenvale,35.5,50.2
Teldrassil,56.3,92.4
Darnassus,39.5,83.9
Teldrassil,56.3,92.4
Felwood,51.1,81.6
Felwood,51.2,82.3
Felwood,51.3,81.5
Felwood,48.7,79.2
Felwood,35.4,58.7
Felwood,35.4,58.7
Felwood,36.3,56.3
Felwood,36.5,55.2
Felwood,36.7,53.3
Felwood,37.7,52.7
Felwood,48.5,20.2
Felwood,51.1,81.6
Felwood,51.2,82.3
Felwood,51.3,81.5
Winterspring,61.2,38.3
Winterspring,61.1,38.4
Winterspring,61.3,39
Winterspring,60.9,37.6
Winterspring,52.1,30.4
Winterspring,39.4,43.8
Winterspring,65,41.6
Winterspring,60.9,37.6
Winterspring,66,42.8
Winterspring,59.8,74.3
Winterspring,61.2,38.3
Winterspring,60.9,37.6
Winterspring,61.5,38.5
Winterspring,67,35
Winterspring,31.3,45.2
Winterspring,27.7,34.5
Felwood,60.2,5.8
Winterspring,31.3,45.2
Felwood,50.4,26.4
Winterspring,31.3,45.2
Winterspring,61.3,38.9
Teldrassil,56.3,92.4
Teldrassil,55.5,92
Darnassus,35.1,9.1
Darnassus,35.2,8.1
Teldrassil,56.3,92.4
Moonglade,51.7,45.1
Darkshore,36.4,45.6
Ironforge,58.6,47.3
Ironforge,75.8,23.4
Ironforge,38.4,55.3
Redridge Mountains,30.4,59
Burning Steppes,82.8,63.4
Burning Steppes,82.8,63.4
Burning Steppes,84.3,68.3
Burning Steppes,84.6,68.7
Burning Steppes,64.1,41.8
Burning Steppes,66.1,21.9
Burning Steppes,65.2,23.9
Burning Steppes,54.1,40.7
Burning Steppes,44.4,36.4
Burning Steppes,74.7,42
Burning Steppes,84.6,68.7
Burning Steppes,90.4,55.9
Burning Steppes,95.1,31.6
Burning Steppes,65.2,23.9
Burning Steppes,39.3,55.4
Burning Steppes,84.6,68.7
Burning Steppes,81,46.8
Burning Steppes,84.6,68.7
Ironforge,38.4,55.3
Wetlands,9.5,59.7
Dustwallow Marsh,67.5,50.3
Tanaris,51,29.3
Tanaris,51.1,26.9
Tanaris,70.4,49.9
Tanaris,51.7,27.8
Un'Goro Crater,44.9,8.2
Un'Goro Crater,43.7,9.4
Un'Goro Crater,41.9,2.7
Un'Goro Crater,44.7,8.1
Silithus,50.4,36.5
Silithus,49.7,37.5
Silithus,51.2,38.3
Silithus,51.6,38.6
Silithus,54.4,30.6
Silithus,81.9,18.9
Silithus,24.8,10.4
Silithus,51.9,39
Silithus,51.6,38.6
Silithus,51.2,38.3
Silithus,49.7,37.5
Silithus,60.8,48.1
Silithus,55.1,59.7
Silithus,67.2,69.8
Silithus,65.2,74.7
Silithus,51.2,38.3
Silithus,51.6,38.6
Silithus,81.9,18.9
Dustwallow Marsh,67.5,50.3
Wetlands,4.6,56.8
Ironforge,29.4,22.1
Hillsbrad Foothills,50,56.9
Western Plaguelands,43,83.5
Western Plaguelands,42.7,84
Western Plaguelands,42.9,84.5
Western Plaguelands,42.9,85.1
Western Plaguelands,48.2,81.2
Western Plaguelands,42.7,84
Western Plaguelands,42.9,84.5
Western Plaguelands,49.3,73.2
Western Plaguelands,49.3,73.2
Western Plaguelands,46.6,71.1
Western Plaguelands,40,71.6
Western Plaguelands,42.3,66.3
Western Plaguelands,44.3,63.3
Western Plaguelands,37,57.1
Western Plaguelands,38.4,54
Western Plaguelands,38.7,55.3
Western Plaguelands,42.7,84
Western Plaguelands,42.9,84.5
Western Plaguelands,46.2,52.4
Western Plaguelands,47.7,50.7
Western Plaguelands,48.1,49.7
Western Plaguelands,47.4,49.7
Western Plaguelands,50,30.4
Western Plaguelands,50,30.4
Western Plaguelands,51.9,28
Western Plaguelands,50.3,41.5
Western Plaguelands,51.1,43.7
Western Plaguelands,51.9,28
Western Plaguelands,56.4,34
Western Plaguelands,56.4,34
Western Plaguelands,57.7,36.3
Western Plaguelands,54.2,24.2
Western Plaguelands,52.8,25.2
Western Plaguelands,52.8,25.2
Western Plaguelands,51.9,28
Western Plaguelands,42.9,84.5
Stormwind City,57.2,48.1
Stormwind City,60.2,57
Stormwind City,80,38.4
Stormwind City,78.3,70.7
Western Plaguelands,43,84.3
Western Plaguelands,43.6,84.5
Western Plaguelands,38.4,54
Western Plaguelands,37.5,55
Western Plaguelands,38.4,54
Western Plaguelands,53,66
Western Plaguelands,42.7,84
Western Plaguelands,42.9,84.5
Western Plaguelands,53.7,64.7
Western Plaguelands,42.8,55.4
Western Plaguelands,53.7,64.7
Western Plaguelands,57.9,61.2
