zone,x,y
Blasted Lands,67,19.4
Stranglethorn Vale,27.7,74.6
The Barrens,62.5,38.5
The Barrens,62.4,38.7
Tanaris,51,29.3
Tanaris,51.1,26.9
Tanaris,51.8,28.7
Tanaris,52.7,45.9
Dustwallow Marsh,67.5,50.3
Wetlands,4.6,56.8
Wetlands,18.2,51.5
Loch Modan,33.9,50.8
Badlands,4.9,61.2
Badlands,4.9,61.2
Searing Gorge,31.7,33.4
Searing Gorge,31.7,33.4
Searing Gorge,37.6,26.5
Searing Gorge,38.6,27.8
Searing Gorge,38.8,28.5
Searing Gorge,37.9,30.9
Searing Gorge,39.1,39
Searing Gorge,36.8,49.4
Searing Gorge,32.5,49.2
Searing Gorge,33.1,51.8
Searing Gorge,32,62.2
Searing Gorge,30.8,72.8
Searing Gorge,65.2,76.3
Searing Gorge,65.2,76.3
Searing Gorge,70.7,73.3
Searing Gorge,65.5,62.3
Searing Gorge,63.3,59.7
Searing Gorge,65.5,62.3
Searing Gorge,61.7,72
Searing Gorge,63.9,61
Searing Gorge,39,38.9
Searing Gorge,42.4,47.1
Searing Gorge,39,38.9
Searing Gorge,38.6,27.8
Ironforge,67.8,8.3
Loch Modan,33.9,50.8
Loch Modan,18.2,84
Ironforge,67.8,8.3
Ironforge,75.8,23.4
Loch Modan,33.9,50.8
Loch Modan,18.2,84
Searing Gorge,35.9,27.7
Searing Gorge,41.5,54.7
Searing Gorge,41.5,54.7
Searing Gorge,37.6,44.3
Searing Gorge,41.2,25.5
Searing Gorge,44.2,24.4
Searing Gorge,40.9,35.8
Searing Gorge,40.5,35.7
Searing Gorge,47.9,42.1
Searing Gorge,47.9,42.1
Searing Gorge,52,37
Searing Gorge,37.6,26.5
Searing Gorge,38.6,27.8
Searing Gorge,39,27.5
Searing Gorge,38.8,28.5
Searing Gorge,29.1,25.9
Searing Gorge,29.6,26.4
Searing Gorge,29.6,26.4
Searing Gorge,29.6,26.4
Searing Gorge,39,38.9
Searing Gorge,41.5,54.7
Searing Gorge,41.2,25.5
Searing Gorge,33.3,54.5
Searing Gorge,35.7,60.7
Searing Gorge,44,60.9
Searing Gorge,50.1,54.7
Searing Gorge,39.1,39
Blasted Lands,65.4,19.2
Blasted Lands,67.5,19.3
Swamp of Sorrows,34.3,66.1
Swamp of Sorrows,91.6,67.6
Ironforge,67.8,8.3
Stormwind City,22.6,56.1
Darkshore,32.4,43.7
Teldrassil,56.3,92.4
Darnassus,38.3,80.9
Darnassus,41.8,85.6
Darnassus,35.1,9.1
Darnassus,31,42
Teldrassil,56.3,92.4
Dustwallow Marsh,42.9,72.4
Dustwallow Marsh,54.1,55.9
Dustwallow Marsh,31.1,66.2
Tanaris,51,29.3
Tanaris,51.5,28.8
Tanaris,51.6,26.8
Tanaris,50.9,27
Tanaris,71.6,76
Tanaris,68,76
Tanaris,63,68.5
Tanaris,63.1,69.1
Tanaris,68.6,56.7
Tanaris,71.6,76
Tanaris,67.3,73.1
Tanaris,71.6,76
Tanaris,79.9,49.9
Tanaris,65.7,15.5
Tanaris,46.4,13.4
Tanaris,44.7,8.1
Tanaris,45.2,5.8
Tanaris,43.9,7.2
Tanaris,43.5,7.4
Tanaris,41.9,2.7
Tanaris,43.6,8.5
Tanaris,42.9,9.6
Tanaris,44.2,11.6
Tanaris,47.2,18.7
Tanaris,56.5,12.4
Un'Goro Crater,63.1,17.1
Un'Goro Crater,67.7,16.8
Un'Goro Crater,67.3,32.6
Un'Goro Crater,68.5,36.5
Un'Goro Crater,77.2,50
Un'Goro Crater,71.6,76
Un'Goro Crater,50.5,78.4
Un'Goro Crater,50.5,78.4
Un'Goro Crater,48.7,85.3
Un'Goro Crater,50.5,78.4
Un'Goro Crater,38.5,66.1
Un'Goro Crater,23.8,59.2
Un'Goro Crater,21.4,59.4
Un'Goro Crater,30.9,50.4
Un'Goro Crater,45.8,53.2
Un'Goro Crater,49.7,45.7
Un'Goro Crater,30.9,50.4
Un'Goro Crater,51.9,49.9
Un'Goro Crater,43.6,8.5
Un'Goro Crater,43.9,7.2
Un'Goro Crater,43.5,7.4
Un'Goro Crater,41.9,2.7
Un'Goro Crater,42.9,9.6
Un'Goro Crater,44.2,11.6
Un'Goro Crater,29.3,22.2
