zone,x,y
Dustwallow Marsh,55.2,26.7
Dustwallow Marsh,55.4,26.3
Dustwallow Marsh,46.7,23.1
Dustwallow Marsh,47,19
Dustwallow Marsh,46.9,17.5
Dustwallow Marsh,46.7,23.1
Dustwallow Marsh,44,16
Dustwallow Marsh,42,12
Dustwallow Marsh,46.7,23.1
Dustwallow Marsh,35.1,23
Dustwallow Marsh,29.7,47.6
Dustwallow Marsh,29.8,48.3
Dustwallow Marsh,29.6,48.6
Dustwallow Marsh,42.8,72.4
Dustwallow Marsh,42.3,72.9
Dustwallow Marsh,41.8,73.1
Dustwallow Marsh,41.9,74
Dustwallow Marsh,41.5,73
Dustwallow Marsh,46.1,57.2
Dustwallow Marsh,53.6,56.9
Dustwallow Marsh,53,56
Dustwallow Marsh,53.6,56.9
Dustwallow Marsh,54.1,56.5
Dustwallow Marsh,54.6,58.1
Dustwallow Marsh,54.6,58.1
Dustwallow Marsh,58.5,60
Dustwallow Marsh,56.2,62
Dustwallow Marsh,58.5,60
Dustwallow Marsh,66.6,45.2
Dustwallow Marsh,66.3,45.5
Dustwallow Marsh,65.1,47.1
Dustwallow Marsh,68.2,48.6
Dustwallow Marsh,68,48.1
Dustwallow Marsh,68.2,48.6
Dustwallow Marsh,69.7,51.2
Dustwallow Marsh,69.7,51.2
Dustwallow Marsh,64.8,50.4
Dustwallow Marsh,68.2,48.6
Dustwallow Marsh,55.4,26.3
Dustwallow Marsh,42,73.3
Dustwallow Marsh,42.3,72.9
Dustwallow Marsh,36.1,54.3
Dustwallow Marsh,35,65
Dustwallow Marsh,32,65.7
Dustwallow Marsh,42.3,72.9
Dustwallow Marsh,41.9,74
Dustwallow Marsh,39,66
Dustwallow Marsh,38.1,69.4
Dustwallow Marsh,41.9,74
Dustwallow Marsh,46,74
Dustwallow Marsh,46,69
Dustwallow Marsh,41.5,73
Dustwallow Marsh,41.9,74
Dustwallow Marsh,52.1,75.8
Dustwallow Marsh,41.9,74
Dustwallow Marsh,46.1,57.2
Dustwallow Marsh,43.8,57
Dustwallow Marsh,41.7,51.4
Dustwallow Marsh,47,50
Dustwallow Marsh,47.2,46.6
Dustwallow Marsh,45.5,57.8
Dustwallow Marsh,46.1,57.2
Dustwallow Marsh,67.5,50.3
Dustwallow Marsh,68.2,48.6
Dustwallow Marsh,46.6,24.6
Dustwallow Marsh,43.1,15
Dustwallow Marsh,46.6,24.6
Dustwallow Marsh,46.1,57.2
Dustwallow Marsh,47.4,47.6
Dustwallow Marsh,47.3,46.6
Dustwallow Marsh,46.6,46
Dustwallow Marsh,46.1,57.2
Dustwallow Marsh,67.5,51.2
Dustwallow Marsh,68.2,48.6
Dustwallow Marsh,63.7,42.8
Dustwallow Marsh,68.2,48.6
Tanaris,51,29.3
Thousand Needles,80.2,75.9
Tanaris,51,27.2
Thousand Needles,80.2,75.9
The Barrens,63,38.1
Stranglethorn Vale,28.1,76.2
Stranglethorn Vale,27.8,77.1
Stranglethorn Vale,27.1,77.2
Stranglethorn Vale,27,77.1
Stranglethorn Vale,27.2,77
Stranglethorn Vale,32.6,40.4
Stranglethorn Vale,41.4,42.3
Stranglethorn Vale,42.5,36.7
Stranglethorn Vale,50,24
Stranglethorn Vale,47.2,28.6
Stranglethorn Vale,48.8,20.1
Stranglethorn Vale,40,29
Stranglethorn Vale,21.7,25
Stranglethorn Vale,27.7,74.6
Stranglethorn Vale,27.1,77.2
Stranglethorn Vale,27,77.1
Stranglethorn Vale,27.2,77
Stranglethorn Vale,28.3,77.6
Stranglethorn Vale,27.3,69.5
Stranglethorn Vale,32.2,66.8
Stranglethorn Vale,26.9,73.6
Stranglethorn Vale,28.1,76.2
Stranglethorn Vale,27.8,77.1
Stranglethorn Vale,26.9,77.3
Stranglethorn Vale,27.2,77
Stranglethorn Vale,38,3.7
Stranglethorn Vale,35.8,10.7
Stranglethorn Vale,25.3,19
Stranglethorn Vale,38.2,4
Stranglethorn Vale,27.7,74.6
Stranglethorn Vale,28.3,77.6
Loch Modan,33.9,50.8
Loch Modan,65.9,65.6
Badlands,53.6,43.3
Badlands,42.2,52.7
Badlands,25.9,44.6
Badlands,21.9,44.6
Badlands,25.9,44.6
Badlands,52.3,30.4
Badlands,53,33.9
Badlands,66.6,21.5
Badlands,53.6,43.3
Badlands,50.9,62.4
Badlands,51.8,65.6
Badlands,46.3,77.2
Badlands,46.3,77.2
Badlands,44.8,80.6
Badlands,13.5,78.3
Badlands,25.9,44.6
Badlands,7.9,74.1
Badlands,7.9,74.1
Badlands,4.2,81.5
Badlands,25.9,44.6
Badlands,25.9,44.6
Badlands,42.2,52.7
Badlands,53.6,43.3
Loch Modan,65.9,65.6
Loch Modan,35.1,46.9
Duskwood,74.7,46.9
Duskwood,75.8,46.2
Blasted Lands,66.5,21.4
Blasted Lands,65.5,24.3
Stranglethorn Vale,27.7,74.6
Stranglethorn Vale,26.9,77.2
Stranglethorn Vale,27.1,77.2
Stranglethorn Vale,27.1,77.5
Stranglethorn Vale,26.8,76.4
Stranglethorn Vale,27.8,77.1
Stranglethorn Vale,28.6,75.9
Stranglethorn Vale,32.8,76.2
Stranglethorn Vale,29.6,80.9
Stranglethorn Vale,27,82.8
Stranglethorn Vale,26.9,77.3
Stranglethorn Vale,27.2,77
Stranglethorn Vale,28.6,75.9
Stranglethorn Vale,24.7,63.7
Stranglethorn Vale,39.2,57.1
Stranglethorn Vale,40,58.2
Stranglethorn Vale,34.9,51.9
Stranglethorn Vale,35.1,51.1
Stranglethorn Vale,32.1,43.4
Stranglethorn Vale,27.7,74.6
Stranglethorn Vale,27.1,77.2
Stranglethorn Vale,38.2,4.1
Stranglethorn Vale,35.8,10.7
Stranglethorn Vale,38.2,4
Stranglethorn Vale,27.7,74.6
Stranglethorn Vale,27.8,77.1
Stranglethorn Vale,26.8,76.4
Dustwallow Marsh,67.5,50.3
Dustwallow Marsh,67.7,51.7
Tanaris,51,29.3
Tanaris,52.5,28.5
Tanaris,51.8,27
Tanaris,51.6,26.8
Thousand Needles,78.1,77.1
Thousand Needles,80.2,75.9
Thousand Needles,79.8,77
Thousand Needles,77.2,77.4
Thousand Needles,80.2,75.9
Thousand Needles,59.8,24.7
Thousand Needles,67.1,23.9
Thousand Needles,66.6,22.3
Thousand Needles,67,22.4
Thousand Needles,64.7,35.3
Thousand Needles,70.4,42.7
Thousand Needles,72.2,46.8
Thousand Needles,73.4,47.1
Thousand Needles,74.3,46.4
