zone,x,y
Westfall,60,19.4
Westfall,56,31.2
Westfall,56.4,30.5
Westfall,56.6,52.6
Westfall,54,52.9
Westfall,56.3,47.5
Westfall,48.6,46.8
Westfall,56.3,47.5
Westfall,54,52.9
Darkshore,32.8,42
Teldrassil,56.3,92.4
Darnassus,35.2,8.1
Darnassus,56.2,30.5
Darnassus,44.2,45.3
Teldrassil,58.4,93.9
Darkshore,36.4,45.6
Darkshore,54.6,31.7
Darkshore,54.6,31.7
Darkshore,54.7,33.1
Darkshore,38,41
Darkshore,43,50.5
Darkshore,37.7,40.6
Darkshore,56.2,30.5
Darkshore,44.2,45.3
Teldrassil,56.3,92.4
Darnassus,35.2,8.1
Westfall,52.9,53.6
Westfall,53.8,42.5
Westfall,59,43.7
Westfall,57.1,19.3
Westfall,57,15.1
Westfall,55.1,12.3
Westfall,49.4,19.2
Westfall,51.1,21.8
Westfall,56,31.2
Westfall,56.4,30.5
Westfall,60,19.4
Westfall,56.3,47.5
Stormwind City,22.6,56.1
Darkshore,37.7,43.4
Darkshore,38.8,43.4
Darkshore,39.4,43.5
Darkshore,38.1,41.2
Darkshore,37.4,40.1
Darkshore,40.3,53
Darkshore,38.4,52.9
Darkshore,38.8,43.4
Darkshore,39.4,43.5
Darkshore,47.4,48.7
Darkshore,37.7,43.4
Darkshore,37.8,44.1
Darkshore,47.3,48.7
Darkshore,44.2,36.3
Darkshore,47.4,36.8
Darkshore,44.2,36.3
Darkshore,42,28.6
Darkshore,48.4,30.7
Darkshore,51.3,24.6
Darkshore,50.9,25.7
Darkshore,44.2,20.6
Darkshore,39.6,27.5
Darkshore,38.2,28.8
Darkshore,38.1,41.2
Darkshore,37.4,40.1
Darkshore,37.7,43.4
Darkshore,37.3,43.6
Darkshore,35.7,43.7
Darkshore,36.6,45.6
Darkshore,38.8,43.4
Darkshore,40.3,59.7
Darkshore,41.5,59.1
Darkshore,43.3,58.7
Darkshore,43.3,59.7
Darkshore,42.4,61.8
Darkshore,42.6,63.1
Darkshore,40.3,59.7
Darkshore,35.7,43.7
Darkshore,37.4,40.1
Darkshore,44.2,36.3
Darkshore,52.4,35.9
Darkshore,52.4,35.9
Darkshore,51.5,38.2
Darkshore,54.6,31.8
Darkshore,54.6,31.8
Darkshore,55.1,33.6
Darkshore,38.8,43.4
Darkshore,37.3,43.6
Teldrassil,56.3,92.4
Darnassus,35.2,8.1
Moonglade,56.2,30.5
Moonglade,57.6,57.8
Moonglade,36.1,41.6
Moonglade,36.5,41.8
Moonglade,44.2,45.3
Teldrassil,56.3,92.4
Darkshore,36.4,45.6
Darkshore,48.9,11.3
Darkshore,32.4,43.8
Westfall,53.4,50.8
Westfall,18,33
Moonglade,36,42
Moonglade,56.2,30.5
Moonglade,44.2,45.3
Teldrassil,56.3,92.4
Darnassus,35.2,8.1
Teldrassil,56.3,92.4
Darkshore,36.4,45.6
Westfall,52.9,53.6
Westfall,31.4,44.5
Westfall,56.3,47.5
Westfall,52.6,72.3
Westfall,56.3,47.5
Loch Modan,33.9,50.8
Loch Modan,34.7,43.2
Loch Modan,24.8,18.4
Loch Modan,35.4,18.5
Loch Modan,24.8,18.4
Loch Modan,37.2,47.4
Loch Modan,64.9,66.7
Loch Modan,65.9,65.6
Loch Modan,68.1,63.2
Loch Modan,64.9,66.7
Loch Modan,83.5,65.5
Loch Modan,81.8,61.7
Loch Modan,77.4,58.3
Loch Modan,83.5,65.5
Loch Modan,65.3,39.1
Loch Modan,83.5,65.5
Loch Modan,63.6,47.9
Loch Modan,55.2,54
Loch Modan,48.7,30.1
Loch Modan,54.2,26.6
Loch Modan,51.8,24.1
Loch Modan,48.1,21.1
Loch Modan,46,13.6
Loch Modan,56,13.3
Loch Modan,46,13.6
Loch Modan,67.1,22.2
Loch Modan,75,19.8
Loch Modan,63.6,47.9
Loch Modan,81.8,61.7
Loch Modan,81.7,64.2
Loch Modan,43,64
Loch Modan,83.5,65.5
Loch Modan,81.7,64.2
Loch Modan,35.1,46.9
Loch Modan,34.7,43.2
Loch Modan,37.2,47.4
Ironforge,74.7,11.7
Redridge Mountains,15.3,71.5
Redridge Mountains,30.7,60
Redridge Mountains,30.6,59.4
Redridge Mountains,33.5,49
Redridge Mountains,32.1,48.6
Redridge Mountains,31,47.3
Redridge Mountains,29.3,53.6
Redridge Mountains,29.1,55.1
Redridge Mountains,41.5,54.6
Redridge Mountains,32.1,48.6
Redridge Mountains,29.3,53.6
Redridge Mountains,30,44.4
Redridge Mountains,27.7,47.4
Redridge Mountains,26.6,44.3
Redridge Mountains,26.5,45.3
Redridge Mountains,22.7,43.8
Redridge Mountains,21.9,46.3
Redridge Mountains,15.3,71.5
Westfall,53.4,50.8
Westfall,56.3,47.5
Stormwind City,78.3,70.7
Westfall,53.4,50.8
Westfall,56.3,47.5
Elwynn Forest,41.7,65.5
Redridge Mountains,26.9,44.9
Redridge Mountains,21.9,46.3
Redridge Mountains,26.6,44.3
Redridge Mountains,31,47.3
Redridge Mountains,34.2,67.4
Redridge Mountains,19.3,73.2
Redridge Mountains,26.8,80.2
Redridge Mountains,30.7,60
Redridge Mountains,31,47.3
