zone,x,y
Wetlands,38.1,51.1
Wetlands,38.8,52.3
Wetlands,29.1,44.8
Wetlands,38.1,51.1
Wetlands,34.8,45.4
Wetlands,38.1,51.1
Wetlands,38.8,52.3
Wetlands,42.9,41.2
Wetlands,52.4,40.3
Wetlands,56.3,40.5
Wetlands,63.9,61.8
Wetlands,56.3,40.5
Wetlands,46.4,35.3
Wetlands,56.3,40.5
Wetlands,10.1,56.7
Wetlands,8.3,58.6
Wetlands,8.5,55.7
Wetlands,9.9,57.5
Wetlands,11.5,52.2
Wetlands,13.5,41.4
Wetlands,13.6,38.2
Wetlands,13.9,34.8
Wetlands,18.5,27.3
Wetlands,44.3,25.5
Wetlands,56.3,40.5
Wetlands,11.8,58
Wetlands,8.5,55.7
Wetlands,8.3,58.6
Redridge Mountains,30.4,59
Redridge Mountains,31.5,57.9
Redridge Mountains,15.9,49.5
Redridge Mountains,21.9,46.3
Redridge Mountains,26.8,46.5
Redridge Mountains,33.5,49
Redridge Mountains,67,52
Redridge Mountains,71.7,41.6
Redridge Mountains,33.5,49
Redridge Mountains,31,47.3
Redridge Mountains,30,44.4
Redridge Mountains,27.4,21.8
Redridge Mountains,32.9,6.8
Redridge Mountains,28.4,12.6
Redridge Mountains,33.5,49
Redridge Mountains,31,47.3
Redridge Mountains,31.5,57.9
Redridge Mountains,79.9,37.7
Redridge Mountains,26.9,44.9
Redridge Mountains,30,44.4
Duskwood,75.8,45.3
Duskwood,77.5,44.3
Duskwood,79.8,48.1
Duskwood,75.7,47.6
Duskwood,75.3,48.7
Duskwood,73.5,46.8
Duskwood,72.5,46.8
Westfall,56.6,52.7
Westfall,41.5,66.7
Duskwood,77.6,44.4
Duskwood,72.5,46.8
Elwynn Forest,43.8,65.8
Elwynn Forest,44.3,65.8
Stormwind City,42.5,72.4
Stormwind City,42.5,72.41
Elwynn Forest,84.6,69.4
Elwynn Forest,85.7,69.5
Elwynn Forest,84.6,69.4
Duskwood,73.9,44.5
Duskwood,74.1,44.7
Duskwood,73.5,46.8
Duskwood,72.5,46.8
Duskwood,73.5,46.8
Duskwood,70.2,45.1
Duskwood,70.2,45.1
Duskwood,66,47
Duskwood,75.7,47.6
Duskwood,66,47
Duskwood,75.7,47.6
Duskwood,81.9,59.2
Duskwood,79.3,70.3
Duskwood,80.9,71.6
Duskwood,72.7,69.7
Duskwood,73.5,46.8
Duskwood,75.7,47.6
Duskwood,75.3,48.7
Duskwood,79.8,48.1
Duskwood,36.1,80.6
Duskwood,18.2,56.6
Duskwood,17.6,47.2
Duskwood,27.2,45.9
Duskwood,23.5,39.1
Duskwood,28,31.5
Duskwood,17.7,29
Duskwood,7.8,34.2
Duskwood,73.9,44.5
Duskwood,73.8,43.5
Duskwood,73.5,46.8
Duskwood,72.6,47.7
Duskwood,73.5,46.8
Duskwood,75.8,45.3
Duskwood,79.8,48.1
Duskwood,81.9,59.2
Duskwood,75.8,45.3
Duskwood,49.9,77.7
Duskwood,28,31.5
Duskwood,24.1,32.7
Duskwood,7.8,34.2
Duskwood,77.6,44.4
Duskwood,75.8,45.3
Duskwood,73.5,46.8
Duskwood,72.5,46.8
Duskwood,74.1,44.7
Duskwood,18.2,56.6
Duskwood,7.8,34.2
Duskwood,15.3,37.6
Duskwood,15.4,37
Duskwood,14.2,42.2
Duskwood,7.8,34.2
Duskwood,73.9,44.5
Duskwood,74.1,44.7
Stormwind City,49.9,46
Westfall,56.6,52.7
Duskwood,28,31.5
Duskwood,25.5,34.6
Duskwood,28,31.5
Duskwood,33.4,76.4
Duskwood,28,31.5
Duskwood,73.9,44.5
Duskwood,71.9,46.4
Duskwood,72.6,47.7
Duskwood,71.9,46.4
Duskwood,28.9,30.8
Duskwood,71.9,46.4
