zone,x,y
Tanaris,51.7,27.8
Tanaris,52.5,28.5
Tanaris,64.3,38.2
Tanaris,67.1,23.9
Tanaris,66.6,22.3
Tanaris,51.7,27.8
Tanaris,52.5,28.5
Tanaris,52.4,26.9
Feralas,30.3,43.3
Feralas,30.6,42.7
Feralas,30.3,46.2
Feralas,31.8,45.6
Feralas,31.9,45.1
Feralas,26.3,52.3
Feralas,30.3,46.2
Feralas,27.2,52.2
Feralas,30.3,46.2
Feralas,25.5,64.5
Feralas,25.5,64.5
Feralas,28.5,70.7
Feralas,30.3,46.2
Feralas,30.1,45.1
Feralas,31,39.9
Feralas,43.5,42.7
Feralas,46.6,48.2
Feralas,45.5,65
Feralas,43.5,42.7
Feralas,31,39.9
Feralas,31.9,45.1
Feralas,32.4,43.8
Feralas,31.9,45.1
Feralas,31,39.9
Feralas,43.5,42.7
Feralas,55.5,54.8
Feralas,57.9,66.9
Feralas,60.4,58.8
Feralas,65.6,46.9
Feralas,65.6,46.9
Feralas,65.9,45.6
Feralas,66.7,46.8
Feralas,65.9,45.6
Feralas,67.5,46.4
Feralas,65.9,45.6
Feralas,73.3,56.3
Feralas,73.5,63.1
Feralas,31,44
Feralas,30.6,42.7
Feralas,31.8,45.6
Feralas,31.9,45.1
Feralas,30.3,46.2
Feralas,89.5,45.8
Feralas,89.6,46.6
Teldrassil,56.3,92.4
Teldrassil,55.5,92
Teldrassil,55.5,92
Teldrassil,55.2,91.5
Teldrassil,55.4,92.2
Darnassus,41.8,85.6
Darnassus,38.3,80.9
Teldrassil,56.3,92.4
Tanaris,51,29.3
Tanaris,52.4,26.9
The Barrens,63,38.1
Stranglethorn Vale,27.8,77.1
Hillsbrad Foothills,50,56.9
Hillsbrad Foothills,84.9,31.8
Hillsbrad Foothills,84.9,31.8
The Hinterlands,11.1,46.2
The Hinterlands,9.8,44.5
The Hinterlands,14.8,44.6
The Hinterlands,13.8,41.7
The Hinterlands,15.1,47.2
The Hinterlands,13.4,55.2
The Hinterlands,20.5,52.7
The Hinterlands,22.9,54.8
The Hinterlands,24.8,55.4
The Hinterlands,23.2,58.8
The Hinterlands,24.6,65.6
The Hinterlands,27.1,66.5
The Hinterlands,32.1,57.3
The Hinterlands,48.2,41.7
The Hinterlands,71.5,65.1
The Hinterlands,71.5,65.1
The Hinterlands,76.9,64.9
The Hinterlands,78.8,63.4
The Hinterlands,13.9,42.1
The Hinterlands,14.8,44.6
The Hinterlands,15.1,47.2
The Hinterlands,9.8,44.5
The Hinterlands,37.2,71.5
The Hinterlands,34.1,72.9
The Hinterlands,48.3,67.6
The Hinterlands,15.1,47.2
The Hinterlands,9.8,44.5
Stormwind City,22.6,56.1
Darkshore,32.4,43.7
Teldrassil,56.3,92.4
Teldrassil,55.5,92
Teldrassil,55.4,92.2
Feralas,30.3,43.3
Feralas,31.8,45.6
Feralas,31,39.9
Feralas,43.5,42.7
Feralas,44.8,43.4
Feralas,44.8,47.3
Feralas,44.8,43.4
Feralas,51.5,32.4
Feralas,51.5,32.4
Feralas,52.2,31.6
Feralas,42.4,22
Feralas,38.5,15.8
Feralas,40.3,11
Feralas,40.3,11
Feralas,40.5,12.7
Feralas,39.9,9.4
Feralas,37.7,12.2
Feralas,38.8,13.2
Feralas,38.2,10.3
Feralas,42.4,22
Feralas,65.9,45.6
Feralas,31,44
Feralas,30.6,42.7
Feralas,31.8,45.6
Tanaris,51,29.3
Tanaris,51.8,28.7
Tanaris,52.8,27.4
Tanaris,51.6,26.8
Tanaris,50.2,27.5
Tanaris,38.6,29.4
Tanaris,50.2,27.5
Tanaris,52.7,45.9
Tanaris,40.8,55
Tanaris,41.5,57.8
Tanaris,34.8,51
Tanaris,28.5,65.3
Tanaris,38.5,72.6
Tanaris,52.7,45.9
Tanaris,67,24
Tanaris,67,22.4
Tanaris,51.7,27.8
Tanaris,51.8,28.7
Tanaris,52.8,27.4
Tanaris,51.6,26.8
Tanaris,51.1,26.9
Tanaris,50.9,27
Tanaris,50.2,27.5
Tanaris,56,70.2
Tanaris,56,70.2
Tanaris,55.8,68.9
Tanaris,55.8,68.9
Tanaris,56,71.2
Tanaris,50.2,27.5
Tanaris,50.9,27
Tanaris,50.2,27.5
Thousand Needles,78.3,74.7
Dustwallow Marsh,67.5,50.3
Wetlands,4.6,56.8
Ironforge,77.5,11.8
Ironforge,31,4.8
Ironforge,70.9,94.6
The Hinterlands,13.4,46.5
The Hinterlands,14.2,43.6
The Hinterlands,40.7,59.1
The Hinterlands,70,58
The Hinterlands,14.2,43.6
Stranglethorn Vale,27.7,74.6
Stranglethorn Vale,27.1,77.5
Stranglethorn Vale,27.6,76.7
Stranglethorn Vale,35.1,72.9
Stranglethorn Vale,31.2,68
Stranglethorn Vale,35.3,60.4
Stranglethorn Vale,38.2,36.4
Stranglethorn Vale,35.8,10.7
Stranglethorn Vale,38.2,4
Stranglethorn Vale,27.7,74.6
Stranglethorn Vale,27.6,76.7
Stranglethorn Vale,38.5,80.6
Stranglethorn Vale,41,83
Stranglethorn Vale,38.5,80.6
Stranglethorn Vale,32.9,88.2
Stranglethorn Vale,30.6,90.6
Stranglethorn Vale,29.2,88.3
Stranglethorn Vale,27.7,74.6
Stranglethorn Vale,27.2,77
Duskwood,74.7,46.9
Swamp of Sorrows,22.9,48.2
Blasted Lands,50.6,14.2
Blasted Lands,50.7,14.2
