zone,x,y
Redridge Mountains,48.2,73.3
Redridge Mountains,55.5,74.7
Redridge Mountains,70.6,78.8
Redridge Mountains,26.9,44.9
Ironforge,47.6,9.3
Stormwind City,39.6,84.6
Stormwind City,22.6,56.1
Darkshore,32.4,43.7
The Barrens,49.3,57.2
Ashenvale,31.2,31.2
Darkshore,32.4,43.8
Stormwind City,39.6,84.6
Stormwind City,22.1,84.4
Stormwind City,39.6,84.6
Redridge Mountains,22.7,43.8
Redridge Mountains,27.7,47.4
Redridge Mountains,33.5,49
Redridge Mountains,29,37.4
Redridge Mountains,32.1,48.6
Redridge Mountains,31,47.3
Westfall,56.5,52.7
Westfall,44.2,69.3
Westfall,30.1,85.9
Westfall,29.7,79.9
Westfall,30.1,85.9
Westfall,53.4,50.8
Westfall,56.3,47.5
Westfall,56.3,47.5
Stormwind City,22.6,56.1
Darkshore,32.4,43.7
Darkshore,36.1,44.9
Darkshore,37.2,44.2
Darkshore,37.3,43.6
Darkshore,39.4,43.5
Darkshore,39,43.6
Darkshore,55,24.9
Darkshore,55.2,26.4
Darkshore,55,24.9
Darkshore,36.3,76.7
Darkshore,34.9,80
Darkshore,32.9,81.1
Darkshore,37.6,82.4
Darkshore,41.4,80.6
Darkshore,43.5,76.3
Darkshore,38.5,86.2
Darkshore,38.7,87.4
Darkshore,43.5,76.3
Darkshore,44.4,76.4
Ashenvale,26.8,36.8
Ashenvale,27.3,35.6
Ashenvale,26.2,38.6
Ashenvale,26.4,38.6
Ashenvale,22.7,51.9
Ashenvale,34.4,48
Ashenvale,34.9,49.8
Ashenvale,35.8,49.1
Ashenvale,36.6,49.6
Darkshore,36.4,45.6
Darkshore,36.6,45.6
Darkshore,36.1,44.9
Darkshore,37.7,43.4
Darkshore,39.4,43.5
Darkshore,57.2,23.5
Darkshore,38.1,43.1
Darkshore,43.5,76.3
Darkshore,45,85.3
Ashenvale,29.6,24
Ashenvale,32.7,28.7
Ashenvale,26.2,38.6
Ashenvale,26.4,38.6
Ashenvale,34.6,48.8
Ashenvale,37.4,51.8
Ashenvale,20.3,42.3
Ashenvale,14.8,31.3
Ashenvale,14.2,26.8
Ashenvale,14.2,20.6
Ashenvale,14.8,31.3
Ashenvale,7.4,12.6
Ashenvale,14.8,31.3
Ashenvale,35.5,50.2
Ashenvale,36.6,49.6
Ashenvale,34.7,48.8
Ashenvale,37.4,33.9
Ashenvale,36.6,49.6
Ashenvale,50.1,56.4
Ashenvale,50.1,56.4
Ashenvale,53.5,46.3
Ashenvale,50.9,60.2
Ashenvale,44,55
Ashenvale,44,55
Ashenvale,46.2,46
Ashenvale,35.5,50.2
Ashenvale,36.6,49.6
Ashenvale,34.9,49.8
Ashenvale,37.4,51.8
Ashenvale,37.4,55.2
Ashenvale,37.4,55.2
Ashenvale,33.7,66.5
Ashenvale,37.4,51.8
Ashenvale,49.8,67.2
Ashenvale,49.4,69.3
Ashenvale,49.8,67.2
Ashenvale,42.3,71.1
Stonetalon Mountains,78.2,42.9
Stonetalon Mountains,59,62.6
Stonetalon Mountains,59.7,67
Stonetalon Mountains,61.7,55.5
Stonetalon Mountains,62.8,53.8
Stonetalon Mountains,59,62.6
Stonetalon Mountains,59.7,67
Stonetalon Mountains,51.5,46
Stonetalon Mountains,37.1,8.1
Stonetalon Mountains,36.4,7.2
Ashenvale,35.5,50.2
Ashenvale,34.7,48.8
Darkshore,36.4,45.6
Darkshore,39.4,43.5
Darkshore,32.4,43.8
Stormwind City,53,86.6
Ironforge,72.1,51.9
Loch Modan,33.9,50.8
Loch Modan,34.8,47.1
Loch Modan,25.4,10.4
Wetlands,49.7,79.5
Wetlands,53.9,70.3
Wetlands,49.9,39.4
Wetlands,11.5,52.2
Wetlands,8.5,55.7
Wetlands,8.3,58.6
Wetlands,9.5,59.7
Wetlands,10.9,59.6
Wetlands,10.8,60.8
Wetlands,10.9,59.6
Wetlands,11.8,58
Wetlands,10.1,56.9
Wetlands,9.9,57.5
Wetlands,13.8,41.9
Wetlands,15,40.7
