zone,x,y
Thousand Needles,72.4,72.6
Thousand Needles,77.8,77.3
Thousand Needles,78.1,77.1
Thousand Needles,80.2,75.9
Thousand Needles,81.6,77.9
Tanaris,51,29.3
Hillsbrad Foothills,51.2,58.9
Hillsbrad Foothills,48.1,59.1
Wetlands,9.5,59.7
Wetlands,5.1,63.4
Dustwallow Marsh,67.5,50.3
Dustwallow Marsh,67.5,51.3
Stonetalon Mountains,36.5,7.3
Desolace,67.5,15.9
Desolace,67.5,15.9
Desolace,66.4,11.8
Desolace,66.2,9.6
Desolace,64.7,10.5
Desolace,56.5,17.8
Desolace,66.4,11.8
Desolace,71.8,17.8
Desolace,66.2,9.6
Desolace,62.3,39
Desolace,60.9,61.9
Desolace,55.8,62.9
Desolace,60.9,61.9
Desolace,54.4,63.8
Desolace,38.9,27.2
Desolace,36.1,30.4
Desolace,34.4,31.3
Desolace,35.6,25.6
Desolace,55.2,30.1
Desolace,54.9,26.1
Desolace,53,29.1
Desolace,54.9,26.1
Desolace,62.3,39
Desolace,38.9,27.2
Desolace,30,8.7
Desolace,28.2,6.6
Desolace,38.9,27.2
Desolace,66.8,10.1
Desolace,66.2,9.6
Desolace,66.4,11.8
Feralas,43.5,42.8
Feralas,31,39.9
Feralas,30.2,43.2
The Barrens,63,38.1
The Barrens,62.7,36.2
The Barrens,63.4,38.5
Stranglethorn Vale,26.3,73.6
Stranglethorn Vale,27.4,74.1
Stranglethorn Vale,27.1,77.2
Stranglethorn Vale,27,77.1
Stranglethorn Vale,26.9,77.2
Stranglethorn Vale,27.2,77
Stranglethorn Vale,28.3,77.6
Stranglethorn Vale,39.4,34.7
Stranglethorn Vale,44.4,21.6
Stranglethorn Vale,42.7,18.3
Stranglethorn Vale,43.3,20.3
Stranglethorn Vale,37.1,24.4
Stranglethorn Vale,32.5,18.8
Stranglethorn Vale,40.6,13.3
Stranglethorn Vale,35.8,10.7
Stranglethorn Vale,32.2,17.3
Stranglethorn Vale,35.8,10.7
Stranglethorn Vale,38.9,5.1
Stranglethorn Vale,38,3.3
Stranglethorn Vale,37.7,3.3
Stranglethorn Vale,45.7,8.2
Stranglethorn Vale,38,3.1
Stranglethorn Vale,28.9,20.7
Stranglethorn Vale,25.1,17.7
Stranglethorn Vale,21.5,22.7
Stranglethorn Vale,27,77.3
Stranglethorn Vale,27.1,77.2
Stranglethorn Vale,27,77.1
Stranglethorn Vale,26.9,77.2
Stranglethorn Vale,27.2,77
Stranglethorn Vale,28.3,77.6
Tanaris,51,29.3
Thousand Needles,77.8,77.3
Thousand Needles,78.1,77.1
Thousand Needles,77.8,77.3
Thousand Needles,80.2,75.9
The Barrens,63,38.1
Stranglethorn Vale,26.9,77.2
Hillsbrad Foothills,50,56.9
Alterac Mountains,49.7,60.8
Alterac Mountains,62.3,45.4
Hillsbrad Foothills,51.2,58.9
Hillsbrad Foothills,49.5,58.7
Hillsbrad Foothills,48.1,59.1
Arathi Highlands,45.8,46.1
Arathi Highlands,46.2,47.8
Arathi Highlands,62.5,33.8
Arathi Highlands,80.9,39.9
Arathi Highlands,80.9,39.9
Arathi Highlands,82.8,36
Arathi Highlands,84.3,30.9
Arathi Highlands,66.7,29.7
Arathi Highlands,71.7,62.9
Arathi Highlands,68.3,75.1
Arathi Highlands,60.2,53.9
Arathi Highlands,52,50.7
Arathi Highlands,46.2,47.8
Arathi Highlands,46.6,47
Arathi Highlands,54.8,81.9
Arathi Highlands,46.6,47
Arathi Highlands,46,47.7
Arathi Highlands,45.8,47.6
Arathi Highlands,25.5,30.1
Arathi Highlands,26.1,59.8
Arathi Highlands,29.6,64.2
Arathi Highlands,26,65.5
Arathi Highlands,24.4,61.2
Arathi Highlands,24.4,61.2
Arathi Highlands,21.7,66.9
Arathi Highlands,36.2,57.3
Arathi Highlands,31.5,64.1
Arathi Highlands,31.5,64.1
Arathi Highlands,31.8,82.7
Arathi Highlands,32.3,81.4
Arathi Highlands,32.7,81.5
Arathi Highlands,33.9,80.6
Arathi Highlands,23.5,85.1
Arathi Highlands,23.1,84.5
Arathi Highlands,20.5,85.6
Arathi Highlands,20.6,85.1
Arathi Highlands,22.4,83.7
Arathi Highlands,25.3,85.2
Arathi Highlands,32.7,81.5
Arathi Highlands,33.9,80.6
Arathi Highlands,32.3,81.4
Arathi Highlands,45.8,47.6
Arathi Highlands,46.2,47.8
Arathi Highlands,46.6,47
Arathi Highlands,60.2,53.9
Hillsbrad Foothills,51.2,58.9
Hillsbrad Foothills,50.3,59
Wetlands,9.5,59.7
Dustwallow Marsh,67.9,51.6
Dustwallow Marsh,68.3,51
Dustwallow Marsh,65.1,47.1
Dustwallow Marsh,66.2,46.1
Dustwallow Marsh,66.3,45.5
Dustwallow Marsh,67.9,48.2
Dustwallow Marsh,68.2,48.6
Dustwallow Marsh,68.3,51
Dustwallow Marsh,67.9,58.7
Dustwallow Marsh,68.3,51
Dustwallow Marsh,68.3,51
Dustwallow Marsh,76.2,57
Dustwallow Marsh,68.3,51
Dustwallow Marsh,68.3,51.8
Dustwallow Marsh,72,47.1
Dustwallow Marsh,72,50
Dustwallow Marsh,72,47.1
Dustwallow Marsh,69.1,52.1
